iter	Passed	Remaining
458	811	956
459	812	953
460	815	953
461	817	952
462	819	950
463	820	948
464	822	946
465	823	943
466	825	941
467	826	939
468	827	937
469	830	936
470	832	935
471	834	933
472	835	931
473	840	932
474	842	931
475	843	929
476	847	928
477	848	926
478	850	924
479	851	922
480	853	920
481	854	918
482	856	916
483	857	914
484	858	911
485	860	910
486	862	908
487	864	906
488	865	904
489	866	902
490	867	899
491	868	897
492	870	894
493	871	892
494	872	890
495	873	887
496	877	887
497	878	885
498	879	882
499	880	880
500	881	878
501	882	875
502	884	873
503	885	871
504	886	868
505	887	866
506	888	864
507	891	863
508	892	861
509	894	859
510	895	856
511	896	854
512	897	852
513	899	850
514	900	847
515	901	845
516	902	843
517	904	841
518	907	840
519	908	838
520	909	836
521	910	834
522	911	831
523	913	829
524	914	827
525	915	824
526	916	822
527	917	820
528	918	818
529	920	816
530	922	814
531	923	812
532	925	810
533	926	808
534	928	806
535	930	805
536	931	803
537	932	801
538	934	798
539	936	798
540	938	795
541	939	793
542	940	791
543	941	789
544	942	787
545	944	785
546	945	783
547	946	780
548	947	778
549	949	776
550	952	776
551	953	774
552	954	771
553	956	769
554	957	767
555	958	765
556	959	763
557	961	761
558	962	759
559	963	757
560	964	754
561	966	753
562	967	751
563	969	749
564	970	746
565	971	744
566	972	742
567	973	740
568	974	738
569	976	736
570	977	734
571	978	732
572	979	729
573	981	728
574	983	726
575	984	724
576	985	722
577	986	720
578	987	718
579	989	716
580	990	714
581	991	712
582	992	710
583	993	707
584	996	706
585	998	705
586	1000	703
587	1001	702
588	1003	700
589	1004	698
590	1005	695
591	1006	693
592	1007	691
593	1008	689
594	1009	687
595	1011	685
596	1012	683
597	1013	681
598	1015	679
599	1016	677
600	1017	675
601	1018	673
602	1019	671
603	1020	669
604	1022	667
605	1023	665
606	1026	664
607	1027	662
608	1028	660
609	1030	658
610	1031	656
611	1033	655
612	1034	653
613	1036	651
614	1037	649
615	1038	647
616	1040	645
617	1041	643
618	1042	641
619	1043	639
620	1045	637
621	1046	635
622	1047	633
623	1048	631
624	1049	629
625	1051	627
626	1052	625
627	1053	623
628	1057	623
629	1059	622
630	1060	620
631	1061	618
632	1062	616
633	1064	614
634	1066	613
635	1067	611
636	1069	609
637	1070	607
638	1072	605
639	1073	603
640	1074	601
641	1075	599
642	1076	597
643	1077	595
644	1078	593
645	1080	591
646	1081	589
647	1082	587
648	1085	587
649	1087	585
650	1088	583
651	1090	581
652	1091	580
653	1093	578
654	1094	576
655	1097	575
656	1101	575
657	1105	574
658	1107	572
659	1108	571
660	1110	569
661	1111	567
662	1113	565
663	1117	565
664	1119	563
665	1123	563
666	1125	562
667	1127	560
668	1128	558
669	1131	557
670	1133	555
671	1142	557
672	1144	556
673	1147	554
674	1149	553
675	1150	551
676	1152	549
677	1155	548
678	1160	548
679	1167	549
680	1168	547
681	1170	545
682	1171	543
683	1173	542
684	1175	540
685	1177	539
686	1179	537
687	1181	535
688	1182	533
689	1184	532
690	1185	530
691	1187	528
692	1190	527
693	1192	525
694	1193	523
695	1195	522
696	1196	520
697	1198	518
698	1199	516
699	1200	514
700	1202	512
701	1203	511
702	1213	512
703	1214	510
704	1216	508
705	1217	507
706	1219	505
707	1221	503
708	1223	502
709	1226	500
710	1228	499
711	1230	497
712	1232	496
713	1234	494
714	1245	496
715	1246	494
716	1248	492
717	1250	491
718	1254	490
719	1255	488
720	1257	486
721	1258	484
722	1259	482
723	1261	480
724	1263	479
725	1264	477
726	1266	475
727	1269	474
728	1271	472
729	1273	470
730	1274	469
731	1276	467
732	1280	466
733	1282	464
734	1285	463
735	1287	461
736	1289	460
737	1291	458
738	1296	457
739	1298	456
740	1300	454
741	1302	452
742	1303	451
743	1306	449
744	1309	448
745	1310	446
746	1312	444
747	1315	443
748	1317	441
749	1319	439
750	1321	438
751	1323	436
752	1324	434
753	1326	432
754	1330	431
755	1332	430
756	1334	428
757	1335	426
758	1337	424
759	1339	422
760	1340	421
761	1342	419
762	1343	417
763	1345	415
764	1347	413
765	1348	411
766	1350	410
767	1351	408
768	1353	406
769	1354	404
770	1355	402
771	1357	400
772	1360	399
773	1362	397
774	1363	395
775	1365	394
776	1366	392
777	1368	390
778	1369	388
779	1371	386
780	1372	384
781	1379	384
782	1381	382
783	1382	380
784	1384	379
785	1385	377
786	1386	375
787	1388	373
788	1396	373
789	1398	371
790	1400	370
791	1402	368
792	1405	366
793	1408	365
794	1411	363
795	1412	362
796	1415	360
797	1417	358
798	1420	357
799	1423	355
800	1424	353
801	1426	352
802	1427	350
803	1429	348
804	1430	346
805	1432	344
806	1433	342
807	1434	340
808	1436	339
809	1438	337
810	1439	335
811	1440	333
812	1441	331
813	1443	329
814	1444	327
815	1445	325
816	1446	324
817	1447	322
818	1448	320
819	1450	318
820	1453	316
821	1454	314
822	1455	313
823	1456	311
824	1458	309
825	1459	307
826	1460	305
827	1461	303
828	1463	301
829	1464	299
830	1465	298
831	1468	296
832	1469	294
833	1471	292
834	1472	290
835	1473	289
836	1475	287
837	1476	285
838	1477	283
839	1479	281
840	1480	279
841	1483	278
842	1484	276
843	1486	274
844	1487	272
845	1488	271
846	1490	269
847	1491	267
848	1492	265
849	1493	263
850	1494	261
851	1496	259
852	1498	258
853	1499	256
854	1501	254
855	1502	252
856	1505	251
857	1507	249
858	1509	247
859	1510	245
860	1513	244
861	1514	242
862	1516	240
863	1517	238
864	1519	237
865	1520	235
866	1522	233
867	1523	231
868	1524	229
869	1526	228
870	1528	226
871	1529	224
872	1531	222
873	1532	220
874	1533	219
875	1534	217
876	1536	215
877	1537	213
878	1538	211
879	1539	209
880	1541	208
881	1543	206
882	1544	204
883	1545	202
884	1546	201
885	1547	199
886	1549	197
887	1550	195
888	1551	193
889	1552	191
890	1553	190
891	1554	188
892	1556	186
893	1559	184
894	1560	183
895	1561	181
896	1563	179
897	1564	177
898	1565	175
899	1566	174
900	1568	172
901	1569	170
902	1570	168
903	1571	166
904	1573	165
905	1575	163
906	1576	161
907	1578	159
908	1579	158
909	1581	156
910	1582	154
911	1584	152
912	1588	151
913	1590	149
914	1592	147
915	1593	146
916	1594	144
917	1596	142
918	1598	140
919	1600	139
920	1601	137
921	1602	135
922	1603	133
923	1605	132
924	1606	130
925	1607	128
926	1608	126
927	1609	124
928	1611	123
929	1613	121
930	1615	119
931	1616	117
932	1617	116
933	1618	114
934	1619	112
935	1620	110
936	1622	109
937	1623	107
938	1624	105
939	1625	103
940	1627	102
941	1628	100
942	1630	98
943	1631	96
944	1632	95
945	1633	93
946	1635	91
947	1636	89
948	1637	88
949	1638	86
950	1640	84
951	1642	82
952	1643	81
953	1645	79
954	1646	77
955	1647	75
956	1648	74
957	1649	72
958	1651	70
959	1652	68
960	1653	67
961	1656	65
962	1658	63
963	1659	61
964	1661	60
965	1662	58
966	1663	56
967	1664	55
968	1665	53
969	1667	51
970	1668	49
971	1669	48
972	1672	46
973	1673	44
974	1675	42
975	1676	41
976	1677	39
977	1678	37
978	1679	36
979	1680	34
980	1682	32
981	1683	30
982	1689	29
983	1690	27
984	1692	25
985	1696	24
986	1705	22
987	1706	20
988	1709	19
989	1712	17
990	1713	15
991	1715	13
992	1718	12
993	1720	10
994	1721	8
995	1723	6
996	1725	5
997	1726	3
998	1728	1
999	1730	0
